letter,weight,relative_weight,weight_1,relative_weight_1,weight_2,relative_weight_2,weight_3,relative_weight_3,weight_4,relative_weight_4,center_x,center_y,relative_center_x,relative_center_y,inertia_x,inertia_y,relative_inertia_x,relative_inertia_y
ა,297,0.29464,15,1.17857,85,1.17857,99,1.17857,98,1.17857,14.86869,21.17508,0.51366,0.57643,17675.87879,30490.89562,0.0174,0.03001
ბ,459,0.27937,25,1.17692,161,1.10337,107,1.13333,166,1.0625,18.4793,30.26797,0.58264,0.56285,31408.55338,110206.03922,0.01164,0.04083
გ,1026,0.28893,308,1.1958,319,1.16063,271,1.15152,128,1.11765,30.32261,21.24464,0.44428,0.38932,412004.2154,259343.59552,0.03267,0.02057
დ,663,0.37907,125,1.59375,208,1.5,154,1.53472,176,1.44444,18.04676,26.52036,0.53271,0.49078,66721.55053,156763.47511,0.02181,0.05125
ე,653,0.36238,204,1.47738,125,1.47738,170,1.42266,154,1.42266,14.37825,26.19908,0.4054,0.4846,67599.57121,164146.11945,0.02082,0.05055
ვ,558,0.32785,179,1.34783,185,1.34783,99,1.27689,95,1.27689,22.63799,14.32079,0.48084,0.37002,126154.87455,56773.57885,0.04355,0.0196
ზ,458,0.27876,57,1.17436,128,1.10096,107,1.13086,166,1.06019,17.44541,30.44541,0.54818,0.56626,31763.13537,106609.13537,0.01177,0.03949
თ,586,0.35216,122,1.40865,206,1.40865,108,1.40865,150,1.40865,18.60068,26.32935,0.56776,0.49665,53460.55973,128179.43515,0.01931,0.04629
ი,722,0.29614,206,1.20736,189,1.20736,165,1.16264,162,1.16264,22.13435,25.54017,0.46965,0.47193,144043.96814,116547.33518,0.02423,0.01961
კ,495,0.30707,130,1.26923,60,1.1899,150,1.26923,155,1.1899,12.91313,30.1899,0.3971,0.57235,54095.26465,98796.14949,0.02082,0.03802
ლ,864,0.30295,185,1.21178,277,1.21178,203,1.21178,199,1.21178,23.29282,31.75463,0.4954,0.50417,148426.91551,264985.98148,0.01825,0.03258
მ,588,0.32308,160,1.33032,118,1.25641,156,1.33032,154,1.25641,15.96769,27.70408,0.44023,0.52361,58220.38605,124896.5102,0.01758,0.03771
ნ,723,0.27283,184,1.11231,271,1.11231,72,1.07111,196,1.07111,30.12448,21.76902,0.59438,0.3994,148610.79668,201374.426,0.02116,0.02868
ო,958,0.32864,233,1.36467,324,1.31593,142,1.31413,259,1.2672,29.71816,22.58977,0.53182,0.41519,234851.90397,222781.77975,0.02764,0.02622
პ,632,0.29981,62,1.23922,266,1.16176,113,1.23922,191,1.16176,20.28006,36.24684,0.64267,0.52607,53225.4288,245487.49367,0.01198,0.05524
ჟ,786,0.31554,211,1.31438,254,1.25962,210,1.2657,111,1.21296,21.67303,22.74682,0.44941,0.41821,146300.96819,202008.61705,0.02358,0.03256
რ,556,0.33841,117,1.42564,177,1.33654,107,1.37284,155,1.28704,17.75899,26.90827,0.55863,0.49824,54915.70504,135276.32194,0.02034,0.05011
ს,777,0.35757,172,1.49423,270,1.42308,142,1.43889,193,1.37037,23.65637,23.82754,0.56641,0.43899,101485.25097,195808.8906,0.02149,0.04147
ტ,604,0.37987,223,1.54872,85,1.54872,154,1.49136,142,1.49136,11.74669,25.35927,0.37058,0.46845,45890.24338,124265.03808,0.01815,0.04915
უ,646,0.32942,131,1.38034,165,1.30769,154,1.32922,196,1.25926,17.94427,27.46594,0.47067,0.50896,83955.99381,147058.75077,0.02183,0.03824
ფ,560,0.32018,66,1.34615,176,1.26697,151,1.2963,167,1.22004,18.50357,29.98571,0.54699,0.55742,58431.99286,104847.88571,0.0191,0.03428
ქ,867,0.31098,288,1.275,273,1.21429,156,1.275,150,1.21429,19.16263,27.63091,0.45407,0.39748,97302.0692,309369.89158,0.01252,0.0398
ღ,647,0.34879,170,1.4638,153,1.38248,165,1.40959,159,1.33128,15.59042,26.81453,0.42913,0.49643,63794.46059,156047.74343,0.01854,0.04535
ყ,789,0.3516,155,1.45037,231,1.36505,154,1.45037,249,1.36505,17.04309,35.18631,0.50135,0.51024,53580.53485,280073.61217,0.01064,0.05562
შ,638,0.36086,201,1.44344,122,1.44344,163,1.44344,152,1.44344,14.29467,27.24608,0.40287,0.51463,69766.60188,123236.3652,0.02232,0.03943
ჩ,885,0.32741,216,1.36154,229,1.30917,205,1.31111,235,1.26068,25.98079,25.80565,0.49962,0.47703,176686.67345,226464.57175,0.02418,0.031
ც,513,0.30248,45,1.23317,166,1.23317,114,1.1875,188,1.1875,19.02339,29.4152,0.5814,0.54645,36757.7193,128034.5614,0.01278,0.04451
ძ,962,0.33002,251,1.37037,261,1.32143,231,1.31962,219,1.27249,26.04782,23.50208,0.46385,0.43273,227955.80042,226994.49584,0.02683,0.02671
წ,485,0.29519,65,1.24359,158,1.16587,107,1.19753,155,1.12269,18.73402,27.0,0.59113,0.5,44064.68866,150032.0,0.01632,0.05558
ჭ,539,0.32806,102,1.38205,164,1.29567,107,1.33086,166,1.24769,16.93321,26.52505,0.53111,0.49087,40139.59555,154170.41187,0.01487,0.05711
ხ,743,0.29206,313,1.19071,97,1.19071,133,1.1466,200,1.1466,23.19919,26.0148,0.47232,0.48105,128640.51952,160100.83715,0.01988,0.02474
ჯ,729,0.35183,174,1.44643,218,1.44643,178,1.3703,159,1.3703,27.06859,16.58299,0.47397,0.43286,204430.57064,92239.22908,0.04762,0.02149
ჰ,415,0.31156,111,1.28086,119,1.28086,92,1.21345,93,1.21345,17.9494,16.14699,0.48427,0.42075,57479.93735,47952.03373,0.0324,0.02703
