letter,weight,relative_weight,weight_1,relative_weight_1,weight_2,relative_weight_2,weight_3,relative_weight_3,weight_4,relative_weight_4,center_x,center_y,relative_center_x,relative_center_y,inertia_x,inertia_y,relative_inertia_x,relative_inertia_y
ა,297,0.29464285714285715,15,0.05952380952380952,85,0.3373015873015873,99,0.39285714285714285,98,0.3888888888888889,14.868686868686869,21.175084175084177,0.5136550692106248,0.5764309764309765,17675.878787878806,30490.89562289563,0.01739642265435918,0.030008833718048893
ბ,588,0.3230769230769231,160,0.36199095022624433,118,0.25213675213675213,156,0.35294117647058826,154,0.32905982905982906,15.967687074829932,27.70408163265306,0.4402260904361745,0.523609443777511,58220.38605442115,124896.51020408166,0.017576496212541103,0.037705745140708145
გ,647,0.3487870619946092,170,0.38461538461538464,153,0.3269230769230769,165,0.35947712418300654,159,0.3271604938271605,15.590417310664606,26.814528593508502,0.42912992090190016,0.4964332421828558,63794.460587326255,156047.74343122097,0.01853937724582828,0.04534920363299336
დ,962,0.3300171526586621,251,0.3575498575498576,261,0.3585164835164835,231,0.3168724279835391,219,0.2896825396825397,26.04781704781705,23.502079002079004,0.46384846384846384,0.4327322885015193,227955.80041579963,226994.49584199826,0.026827087715789524,0.02671395612591149
ე,485,0.2951917224589166,65,0.16666666666666666,158,0.3798076923076923,107,0.2641975308641975,155,0.3587962962962963,18.734020618556702,27.0,0.5911340206185567,0.5,44064.68865979362,150032.0,0.01632358627993847,0.055578749589268034
ვ,539,0.3280584297017651,102,0.26153846153846155,164,0.3942307692307692,107,0.2641975308641975,166,0.38425925925925924,16.93320964749536,26.525046382189238,0.5311069882498454,0.49086627658056226,40139.59554731,154170.41187384058,0.01486955135929962,0.05711180758511851
ზ,743,0.29205974842767296,313,0.5016025641025641,97,0.15544871794871795,133,0.2052469135802469,200,0.30864197530864196,23.199192462987888,26.014804845222073,0.47232324389335933,0.4810539393311937,128640.51951547795,160100.83714670266,0.019876667432353775,0.024737704011087665
თ,729,0.3518339768339768,174,0.34523809523809523,218,0.43253968253968256,178,0.33458646616541354,159,0.29887218045112784,27.068587105624143,16.58299039780521,0.47397431101134807,0.4328608443834781,204430.5706447184,92239.22908093268,0.047617472403865845,0.02148503979352683
ი,415,0.31156156156156156,111,0.3425925925925926,119,0.36728395061728397,92,0.26900584795321636,93,0.2719298245614035,17.949397590361446,16.14698795180723,0.48426850258175563,0.4207496653279786,57479.93734939751,47952.03373493976,0.03239722681544016,0.027027046040939452
კ,459,0.2793670115642118,25,0.0641025641025641,161,0.3870192307692308,107,0.2641975308641975,166,0.38425925925925924,18.47930283224401,30.26797385620915,0.5826434277414669,0.5628456510809452,31408.553376906268,110206.0392156862,0.011635171983951639,0.040825382963592276
ლ,1026,0.28893269501548857,308,0.358974358974359,319,0.3608597285067873,271,0.3041526374859708,128,0.1394335511982571,30.32261208576998,21.244639376218323,0.44428200129954515,0.38931998800419854,412004.21539961,259343.59551656863,0.03267385029864228,0.020567153196724357
მ,663,0.379073756432247,125,0.3004807692307692,208,0.47058823529411764,154,0.35648148148148145,176,0.38344226579520696,18.046757164404223,26.520361990950228,0.532711161387632,0.49077619213365825,66721.55052790359,156763.47511312194,0.02181154910635975,0.051246624343412095
ნ,653,0.3623751387347392,204,0.46153846153846156,125,0.2828054298642534,170,0.37037037037037035,154,0.3355119825708061,14.378254211332312,26.199081163859113,0.4054016427676458,0.48459771468959834,67599.5712098009,164146.11944869845,0.020817777758896854,0.05054998683442692
ო,558,0.32784958871915393,179,0.4323671497584541,185,0.4468599033816425,99,0.22654462242562928,95,0.21739130434782608,22.63799283154122,14.32078853046595,0.48084428514536043,0.3700219036240542,126154.87455197147,56773.578853046616,0.04354967562595587,0.01959869527004472
პ,458,0.2787583688374924,57,0.14615384615384616,128,0.3076923076923077,107,0.2641975308641975,166,0.38425925925925924,17.445414847161572,30.445414847161572,0.5481804949053858,0.5662579778300303,31763.13537117904,106609.13537117899,0.011766525454334955,0.03949292443427491
ჟ,586,0.35216346153846156,122,0.2932692307692308,206,0.4951923076923077,108,0.25961538461538464,150,0.3605769230769231,18.600682593856654,26.329351535836178,0.5677639546405372,0.4966539516830623,53460.55972696312,128179.43515358365,0.01930753619022279,0.0462926145126374
რ,722,0.29614438063986875,206,0.34448160535117056,189,0.31605351170568563,165,0.26570048309178745,162,0.2608695652173913,22.134349030470915,25.54016620498615,0.4696522006771314,0.47192627317281055,144043.96814404477,116547.33518005536,0.024234143450609535,0.01960807436737158
ს,495,0.30707196029776673,130,0.3333333333333333,60,0.14423076923076922,150,0.38461538461538464,155,0.37259615384615385,12.913131313131313,30.18989898989899,0.39710437710437707,0.5723509605862547,54095.2646464647,98796.14949494935,0.02081752883401809,0.038019810130191886
ტ,864,0.302945301542777,185,0.2594670406732118,277,0.3884992987377279,203,0.2847124824684432,199,0.2791023842917251,23.292824074074073,31.75462962962963,0.4953960905349794,0.5041742562234366,148426.91550925956,264985.98148148175,0.01824793057666522,0.03257795782707563
უ,723,0.2728301886792453,184,0.28307692307692306,271,0.4169230769230769,72,0.10666666666666667,196,0.2903703703703704,30.12448132780083,21.76901798063624,0.594377169955119,0.3994041919353123,148610.79668049727,201374.4260027661,0.021162092798931616,0.02867560356037965
ფ,958,0.32864493996569466,233,0.3319088319088319,324,0.44505494505494503,142,0.19478737997256515,259,0.3425925925925926,29.718162839248436,22.589770354906054,0.5318178303564525,0.41518789144050106,234851.90396659737,222781.7797494781,0.02763865897002814,0.026218180611844232
